Trip,Date collected.YYYY-MM-DD,Preservative,Depth.m,Site,Coral.ID,Box ID,mtORF.RFLP,Cladocopium_species,Cladocopium_clade,Plate Number
2,,DMSO,10,1,11A38,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,1,11B13,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,1,12A39,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,1,12B26,,Haplotype 11,,,From_2019_dataset
2,,DMSO,10,1,12B40,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,1,13A08,,Haplotype 3b,,,From_2019_dataset
2,,DMSO,10,1,13B03,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,1,13B24,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,1,13C27,,Haplotype 8a,,,From_2019_dataset
2,,DMSO,10,1,13C72,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,1,14A46,,Haplotype 11,,,From_2019_dataset
2,,DMSO,10,1,14A48,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,1,14B53,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,1,14B56,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,1,15A51,,Haplotype 3a,,,From_2019_dataset
2,,DMSO,10,1,15B47,,Haplotype 1a_Pgra,,,From_2019_dataset
2,,DMSO,10,1,15B60,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,1,15B67,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,1,15C54,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,1,15C61,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,2,21C04,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,2,21C14,,Haplotype 1a_Pgra,,,From_2019_dataset
2,,DMSO,10,2,21D26,,Haplotype 11,,,From_2019_dataset
2,,DMSO,10,2,21D37,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,2,22B53,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,2,23A51,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,2,23B11,,Haplotype 1a_Pgra,,,From_2019_dataset
2,,DMSO,10,2,23B44,,Haplotype 8a,,,From_2019_dataset
2,,DMSO,10,2,23C12,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,2,24A22,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,2,24A34,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,2,24B25,,Haplotype 1a_Pgra,,,From_2019_dataset
2,,DMSO,10,2,24B42,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,2,24C57,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,2,26A76,,Haplotype 11,,,From_2019_dataset
2,,DMSO,10,2,26B61,,Haplotype 8a,,,From_2019_dataset
2,,DMSO,10,2,26B69,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,41A52,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,41A56,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,41A69,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,41D59,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,42A73,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,42A76,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,42A77,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,42B64,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,42C51,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,42C88,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,43A62,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,44B47,,Haplotype 1a_Pgra,,,From_2019_dataset
2,,DMSO,10,4,46A25,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,4,46B11,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,5,51D09,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,5,52A25,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,5,52B17,,Haplotype 8a,,,From_2019_dataset
2,,DMSO,10,5,52B26,,Haplotype 8a,,,From_2019_dataset
2,,DMSO,10,5,52C36,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,5,52D03,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,5,53C47,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,5,53D60,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,5,53D68,,Haplotype 1a_Pm,,,From_2019_dataset
2,,DMSO,10,5,56A45,,Haplotype 10,,,From_2019_dataset
2,,DMSO,10,5,56B38,,Haplotype 8a,,,From_2019_dataset
3,12/17/21,DMSO,1,1,21_01_01_01,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_02,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_03,2021_3,Haplotype 3b,C. pacificum,V,3
3,12/17/21,DMSO,1,1,21_01_01_04,2021_3,Haplotype 5a,C. pacificum,V,3
3,12/17/21,DMSO,1,1,21_01_01_05,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_06,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_07,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_08,2021_3,Haplotype 5a,C. pacificum,VII,3
3,12/17/21,DMSO,1,1,21_01_01_09,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_10,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_11,2021_3,Haplotype 5a,C. pacificum,V,3
3,12/17/21,DMSO,1,1,21_01_01_12,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_13,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_14,2021_3,Haplotype 5a,C. latusorum,I,3
3,12/17/21,DMSO,1,1,21_01_01_15,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_16,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_17,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_18,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_19,2021_3,Haplotype 5a,,,3
3,12/17/21,DMSO,1,1,21_01_01_20,2021_3,Haplotype 5a,,,3
3,12/19/21,DMSO,1,2,21_01_02_01,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_02,2021_6,Haplotype 1a_Pm,,,5
3,12/19/21,DMSO,1,2,21_01_02_03,2021_6,Haplotype 1a_Pgra,C. latusorum,I,5
3,12/19/21,DMSO,1,2,21_01_02_04,2021_6,Haplotype 3a,C. pacificum,V,5
3,12/19/21,DMSO,1,2,21_01_02_05,2021_6,Haplotype 5a,C. pacificum,V,5
3,12/19/21,DMSO,1,2,21_01_02_06,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_07,2021_6,Haplotype 1a_Pm,C. latusorum,I,5
3,12/19/21,DMSO,1,2,21_01_02_08,2021_6,Haplotype 3f,,,5
3,12/19/21,DMSO,1,2,21_01_02_09,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_10,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_11,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_12,2021_6,Haplotype 3f,C. pacificum,V,5
3,12/19/21,DMSO,1,2,21_01_02_13,2021_6,Haplotype 1a_Pm,C. latusorum,I,5
3,12/19/21,DMSO,1,2,21_01_02_14,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_15,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_16,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_17,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_18,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_19,2021_6,Haplotype 3b,C. pacificum,IX,5
3,12/19/21,DMSO,1,2,21_01_02_20,2021_6,Haplotype 3b,,,5
3,12/19/21,DMSO,1,2,21_01_02_21,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_22,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_23,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_24,2021_6,Haplotype 3b,,,5
3,12/19/21,DMSO,1,2,21_01_02_25,2021_6,Haplotype 3b,,,5
3,12/19/21,DMSO,1,2,21_01_02_26,2021_6,Haplotype 5a,C. pacificum,IX,5
3,12/19/21,DMSO,1,2,21_01_02_27,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_28,2021_6,Haplotype 5a,,,5
3,12/19/21,DMSO,1,2,21_01_02_29,2021_6,Haplotype 3b,C. pacificum,VIII,5
