Sequence_ID,Organism
21_01_01_01,Pocillopora acuta
21_01_01_02,Pocillopora acuta
21_01_01_03,Pocillopora verrucosa
21_01_01_04,Pocillopora acuta
21_01_01_05,Pocillopora acuta
21_01_01_06,Pocillopora acuta
21_01_01_07,Pocillopora acuta
21_01_01_08,Pocillopora acuta
21_01_01_09,Pocillopora acuta
21_01_01_10,Pocillopora acuta
21_01_01_11,Pocillopora acuta
21_01_01_12,Pocillopora acuta
21_01_01_13,Pocillopora acuta
21_01_01_14,Pocillopora acuta
21_01_01_15,Pocillopora acuta
21_01_01_16,Pocillopora acuta
21_01_01_17,Pocillopora acuta
21_01_01_18,Pocillopora acuta
21_01_01_19,Pocillopora acuta
21_01_01_20,Pocillopora acuta
21_01_02_01,Pocillopora acuta
21_01_02_02,Pocillopora meandrina
21_01_02_03,Pocillopora grandis
21_01_02_04,Pocillopora verrucosa
21_01_02_05,Pocillopora acuta
21_01_02_06,Pocillopora acuta
21_01_02_07,Pocillopora meandrina
21_01_02_08,Pocillopora verrucosa
21_01_02_09,Pocillopora acuta
21_01_02_10,Pocillopora acuta
21_01_02_11,Pocillopora acuta
21_01_02_12,Pocillopora verrucosa
21_01_02_13,Pocillopora meandrina
21_01_02_14,Pocillopora acuta
21_01_02_15,Pocillopora acuta
21_01_02_16,Pocillopora acuta
21_01_02_17,Pocillopora acuta
21_01_02_18,Pocillopora acuta
21_01_02_19,Pocillopora verrucosa
21_01_02_20,Pocillopora verrucosa
21_01_02_21,Pocillopora acuta
21_01_02_22,Pocillopora acuta
21_01_02_23,Pocillopora acuta
21_01_02_24,Pocillopora verrucosa
21_01_02_25,Pocillopora verrucosa
21_01_02_26,Pocillopora acuta
21_01_02_27,Pocillopora acuta
21_01_02_28,Pocillopora acuta
21_01_02_29,Pocillopora verrucosa
21_01_02_30,Pocillopora verrucosa
21_01_02_31,Pocillopora acuta
21_01_02_32,Pocillopora grandis
21_01_02_33,Pocillopora grandis
21_01_02_34,Pocillopora acuta
21_01_02_35,Pocillopora acuta
21_02_01_01,Pocillopora verrucosa
21_02_01_02,Pocillopora meandrina
21_02_01_03,Pocillopora meandrina
21_02_01_04,Pocillopora meandrina
21_02_01_05,Pocillopora meandrina
21_02_01_06,Pocillopora verrucosa
21_02_01_07,Pocillopora meandrina
21_02_01_08,Pocillopora tuahiniensis
21_02_01_09,Pocillopora meandrina
21_02_01_10,Pocillopora grandis
21_02_01_11,Pocillopora grandis
21_02_01_12,Pocillopora meandrina
21_02_01_13,Pocillopora meandrina
21_02_01_14,Pocillopora meandrina
21_02_01_15,Pocillopora tuahiniensis
21_02_01_16,Pocillopora verrucosa
21_02_01_17,Pocillopora meandrina
21_02_01_18,Pocillopora grandis
21_02_01_19,Pocillopora meandrina
21_02_01_20,Pocillopora verrucosa
21_02_01_21,Pocillopora verrucosa
21_02_01_22,Pocillopora meandrina
21_02_01_23,Pocillopora verrucosa
21_02_01_24,Pocillopora meandrina
21_02_01_25,Pocillopora meandrina
21_02_01_26,Pocillopora meandrina
21_02_01_27,Pocillopora tuahiniensis
21_02_01_28,Pocillopora tuahiniensis
21_02_01_29,Pocillopora verrucosa
21_02_01_30,Pocillopora verrucosa
21_02_01_31,Pocillopora verrucosa
21_02_01_32,Pocillopora meandrina
21_02_01_33,Pocillopora verrucosa
21_02_01_34,Pocillopora verrucosa
21_02_01_35,Pocillopora grandis
21_02_01_36,Pocillopora meandrina
21_02_01_37,Pocillopora meandrina
21_02_01_38,Pocillopora grandis
21_02_01_39,Pocillopora meandrina
21_02_01_40,Pocillopora verrucosa
21_02_01_41,Pocillopora tuahiniensis
21_02_01_42,Pocillopora tuahiniensis
21_02_01_43,Pocillopora verrucosa
21_02_01_44,Pocillopora grandis
21_02_01_45,Pocillopora meandrina
21_02_01_46,Pocillopora meandrina
21_02_01_47,Pocillopora meandrina
21_02_01_48,Pocillopora meandrina
21_02_01_49,Pocillopora meandrina
21_02_01_50,Pocillopora meandrina
21_02_01_51,Pocillopora acuta
21_02_01_52,Pocillopora meandrina
21_02_01_53,Pocillopora verrucosa
21_02_01_54,Pocillopora tuahiniensis
21_02_01_55,Pocillopora meandrina
21_02_01_56,Pocillopora tuahiniensis
21_02_01_57,Pocillopora grandis
21_02_01_58,Pocillopora verrucosa
21_02_01_59,Pocillopora verrucosa
21_02_01_60,Pocillopora meandrina
21_02_01_61,Pocillopora tuahiniensis
21_02_02_01,Pocillopora meandrina
21_02_02_02,Pocillopora meandrina
21_02_02_03,Pocillopora meandrina
21_02_02_04,Pocillopora tuahiniensis
21_02_02_05,Pocillopora meandrina
21_02_02_06,Pocillopora verrucosa
21_02_02_07,Pocillopora verrucosa
21_02_02_08,Pocillopora verrucosa
21_02_02_09,Pocillopora grandis
21_02_02_10,Pocillopora meandrina
21_02_02_11,Pocillopora grandis
21_02_02_12,Pocillopora meandrina
21_02_02_13,Pocillopora meandrina
21_02_02_14,Pocillopora meandrina
21_02_02_15,Pocillopora tuahiniensis
21_02_02_16,Pocillopora meandrina
21_02_02_17,Pocillopora verrucosa
21_02_02_18,Pocillopora meandrina
21_02_02_19,Pocillopora meandrina
21_02_02_20,Pocillopora meandrina
21_02_02_21,Pocillopora grandis
21_02_02_22,Pocillopora tuahiniensis
21_02_02_23,Pocillopora grandis
21_02_02_24,Pocillopora tuahiniensis
21_02_02_25,Pocillopora meandrina
21_02_02_26,Pocillopora verrucosa
21_02_02_27,Pocillopora meandrina
21_02_02_28,Pocillopora meandrina
21_02_02_29,Pocillopora meandrina
21_02_02_30,Pocillopora tuahiniensis
21_02_02_31,Pocillopora grandis
21_02_02_32,Pocillopora meandrina
21_02_02_33,Pocillopora verrucosa
21_02_02_34,Pocillopora tuahiniensis
21_02_02_35,Pocillopora meandrina
21_02_02_36,Pocillopora meandrina
21_02_02_37,Pocillopora meandrina
21_02_02_38,Pocillopora tuahiniensis
21_02_02_39,Pocillopora verrucosa
21_02_02_40,Pocillopora tuahiniensis
21_02_02_41,Pocillopora grandis
21_02_02_42,Pocillopora meandrina
21_02_02_43,Pocillopora grandis
21_02_02_44,Pocillopora meandrina
21_02_02_45,Pocillopora meandrina
21_02_02_46,Pocillopora tuahiniensis
21_02_02_47,Pocillopora tuahiniensis
21_02_02_48,Pocillopora meandrina
21_02_02_49,Pocillopora meandrina
21_02_02_50,Pocillopora meandrina
21_02_02_51,Pocillopora meandrina
21_02_02_52,Pocillopora tuahiniensis
21_02_02_53,Pocillopora tuahiniensis
21_02_02_54,Pocillopora meandrina
21_02_02_55,Pocillopora meandrina
21_02_02_56,Pocillopora tuahiniensis
21_02_02_57,Pocillopora meandrina
21_02_02_58,Pocillopora meandrina
21_02_02_59,Pocillopora meandrina
21_02_02_60,Pocillopora meandrina
21_05_01_01,Pocillopora meandrina
21_05_01_02,Pocillopora meandrina
21_05_01_03,Pocillopora meandrina
21_05_01_04,Pocillopora meandrina
21_05_01_05,Pocillopora meandrina
21_05_01_06,Pocillopora grandis
21_05_01_07,Pocillopora meandrina
21_05_01_08,Pocillopora grandis
21_05_01_09,Pocillopora tuahiniensis
21_05_01_10,Pocillopora meandrina
21_05_01_11,Pocillopora meandrina
21_05_01_12,Pocillopora meandrina
21_05_01_13,Pocillopora meandrina
21_05_01_14,Pocillopora meandrina
21_05_01_15,Pocillopora meandrina
21_05_01_16,Pocillopora meandrina
21_05_01_17,Pocillopora meandrina
21_05_01_18,Pocillopora meandrina
21_05_01_19,Pocillopora tuahiniensis
21_05_01_20,Pocillopora meandrina
21_05_01_21,Pocillopora tuahiniensis
21_05_01_22,Pocillopora tuahiniensis
21_05_01_23,Pocillopora meandrina
21_05_01_24,Pocillopora tuahiniensis
21_05_01_25,Pocillopora grandis
21_05_01_26,Pocillopora meandrina
21_05_01_27,Pocillopora meandrina
21_05_01_28,Pocillopora meandrina
21_05_01_29,Pocillopora meandrina
21_05_01_30,Pocillopora tuahiniensis
21_05_01_31,Pocillopora meandrina
21_05_01_32,Pocillopora grandis
21_05_01_33,Pocillopora grandis
21_05_01_34,Pocillopora meandrina
21_05_01_35,Pocillopora meandrina
21_05_02_01,Pocillopora grandis
21_05_02_02,Pocillopora meandrina
21_05_02_03,Pocillopora meandrina
21_05_02_04,Pocillopora meandrina
21_05_02_05,Pocillopora grandis
21_05_02_06,Pocillopora tuahiniensis
21_05_02_07,Pocillopora meandrina
21_05_02_08,Pocillopora tuahiniensis
21_05_02_09,Pocillopora meandrina
21_05_02_10,Pocillopora meandrina
21_05_02_11,Pocillopora meandrina
21_05_02_12,Pocillopora grandis
21_05_02_13,Pocillopora meandrina
21_05_02_14,Pocillopora meandrina
21_05_02_15,Pocillopora verrucosa
21_05_02_16,Pocillopora meandrina
21_05_02_17,Pocillopora grandis
21_05_02_18,Pocillopora meandrina
21_05_02_19,Pocillopora meandrina
21_05_02_20,Pocillopora grandis
21_05_02_21,Pocillopora meandrina
21_05_02_22,Pocillopora meandrina
21_05_02_23,Pocillopora meandrina
21_05_02_24,Pocillopora meandrina
21_05_02_25,Pocillopora meandrina
21_05_02_26,Pocillopora meandrina
21_05_02_27,Pocillopora verrucosa
21_05_02_28,Pocillopora meandrina
21_05_02_29,Pocillopora meandrina
21_05_02_30,Pocillopora meandrina
21_05_02_31,Pocillopora verrucosa
21_05_02_32,Pocillopora meandrina
21_05_02_33,Pocillopora verrucosa
21_05_02_34,Pocillopora tuahiniensis
21_05_02_35,Pocillopora meandrina
21_05_02_36,Pocillopora meandrina
21_05_04_01,Pocillopora meandrina
21_05_04_02,Pocillopora meandrina
21_05_04_03,Pocillopora meandrina
21_05_04_04,Pocillopora meandrina
21_05_04_05,Pocillopora meandrina
21_05_04_06,Pocillopora effusa
21_05_04_07,Pocillopora meandrina
21_05_04_08,Pocillopora meandrina
21_05_04_09,Pocillopora meandrina
21_05_04_10,Pocillopora meandrina
21_05_04_11,Pocillopora meandrina
21_05_04_12,Pocillopora meandrina
21_05_04_13,Pocillopora effusa
21_05_04_14,Pocillopora meandrina
21_05_04_15,Pocillopora meandrina
21_05_04_16,Pocillopora meandrina
21_05_04_17,Pocillopora meandrina
21_05_04_18,Pocillopora effusa
21_05_04_19,Pocillopora meandrina
21_05_04_20,Pocillopora meandrina
21_05_04_21,Pocillopora meandrina
21_05_04_22,Pocillopora meandrina
21_05_04_23,Pocillopora effusa
21_05_04_24,Pocillopora meandrina
21_05_04_25,Pocillopora meandrina
21_05_04_26,Pocillopora tuahiniensis
21_05_04_27,Pocillopora meandrina
21_05_04_28,Pocillopora meandrina
21_05_04_29,Pocillopora effusa
21_05_04_30,Pocillopora meandrina
21_05_04_31,Pocillopora meandrina
21_05_04_32,Pocillopora meandrina
21_05_04_33,Pocillopora meandrina
21_05_04_34,Pocillopora meandrina
21_05_04_35,Pocillopora meandrina
21_05_04_36,Pocillopora grandis
21_05_04_37,Pocillopora meandrina
21_05_04_38,Pocillopora meandrina
21_05_04_39,Pocillopora effusa
21_05_04_40,Pocillopora meandrina
21_05_04_41,Pocillopora meandrina
21_05_04_42,Pocillopora tuahiniensis
21_05_04_43,Pocillopora meandrina
21_05_04_44,Pocillopora meandrina
21_05_04_45,Pocillopora meandrina
21_05_04_46,Pocillopora meandrina
21_05_04_47,Pocillopora tuahiniensis
21_05_04_48,Pocillopora meandrina
21_05_04_49,Pocillopora tuahiniensis
21_05_04_50,Pocillopora tuahiniensis
21_05_05_01,Pocillopora meandrina
21_05_05_02,Pocillopora meandrina
21_05_05_03,Pocillopora meandrina
21_05_05_04,Pocillopora meandrina
21_05_05_05,Pocillopora meandrina
21_05_05_06,Pocillopora meandrina
21_05_05_07,Pocillopora meandrina
21_05_05_08,Pocillopora meandrina
21_05_05_09,Pocillopora grandis
21_05_05_10,Pocillopora meandrina
