Sequence_ID,Organism
21_01_01_03,Cladocopium pacificum
21_01_01_04,Cladocopium pacificum
21_01_01_08,Cladocopium pacificum
21_01_01_11,Cladocopium pacificum
21_01_01_14,Cladocopium latusorum
21_01_02_03,Cladocopium latusorum
21_01_02_04,Cladocopium pacificum
21_01_02_05,Cladocopium pacificum
21_01_02_07,Cladocopium latusorum
21_01_02_12,Cladocopium pacificum
21_01_02_13,Cladocopium latusorum
21_01_02_19,Cladocopium pacificum
21_01_02_26,Cladocopium pacificum
21_01_02_29,Cladocopium pacificum
21_01_02_30,Cladocopium latusorum
21_01_02_32,Cladocopium latusorum
21_01_02_33,Cladocopium latusorum
21_02_01_01,Cladocopium pacificum
21_02_01_03,Cladocopium latusorum
21_02_01_04,Cladocopium latusorum
21_02_01_05,Cladocopium latusorum
21_02_01_06,Cladocopium pacificum
21_02_01_07,Cladocopium latusorum
21_02_01_08,Cladocopium pacificum
21_02_01_11,Cladocopium latusorum
21_02_01_12,Cladocopium latusorum
21_02_01_13,Cladocopium latusorum
21_02_01_15,Cladocopium pacificum
21_02_01_16,Cladocopium pacificum
21_02_01_18,Cladocopium latusorum
21_02_01_20,Cladocopium pacificum
21_02_01_21,Cladocopium pacificum
21_02_01_23,Cladocopium pacificum
21_02_01_24,Cladocopium latusorum
21_02_01_26,Cladocopium latusorum
21_02_01_27,Cladocopium pacificum
21_02_01_28,Cladocopium pacificum
21_02_01_29,Cladocopium pacificum
21_02_01_30,Cladocopium pacificum
21_02_01_31,Cladocopium pacificum
21_02_01_32,Cladocopium latusorum
21_02_01_33,Cladocopium pacificum
21_02_01_34,Cladocopium pacificum
21_02_01_35,Cladocopium latusorum
21_02_01_37,Cladocopium latusorum
21_02_01_39,Cladocopium latusorum
21_02_01_40,Cladocopium pacificum
21_02_01_42,Cladocopium pacificum
21_02_01_44,Cladocopium latusorum
21_02_01_45,Cladocopium latusorum
21_02_01_46,Cladocopium latusorum
21_02_01_47,Cladocopium latusorum
21_02_01_48,Cladocopium latusorum
21_02_01_49,Cladocopium latusorum
21_02_01_50,Cladocopium latusorum
21_02_01_52,Cladocopium latusorum
21_02_01_53,Cladocopium pacificum
21_02_01_54,Cladocopium pacificum
21_02_01_55,Cladocopium latusorum
21_02_01_56,Cladocopium pacificum
21_02_01_57,Cladocopium latusorum
21_02_01_59,Cladocopium pacificum
21_02_01_60,Cladocopium latusorum
21_02_02_01,Cladocopium latusorum
21_02_02_02,Cladocopium latusorum
21_02_02_03,Cladocopium latusorum
21_02_02_04,Cladocopium pacificum
21_02_02_06,Cladocopium pacificum
21_02_02_07,Cladocopium pacificum
21_02_02_08,Cladocopium pacificum
21_02_02_15,Cladocopium pacificum
21_02_02_16,Cladocopium latusorum
21_02_02_18,Cladocopium latusorum
