Sequence_ID,Collected_by,Collection_date,Country,Identified_by,Host
21_01_01_03,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_01_01_04,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. acuta
21_01_01_08,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. acuta
21_01_01_11,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. acuta
21_01_01_14,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. acuta
21_01_02_03,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. grandis
21_01_02_04,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_01_02_05,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. acuta
21_01_02_07,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_01_02_12,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_01_02_13,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_01_02_19,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_01_02_26,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. acuta
21_01_02_29,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_01_02_30,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_01_02_32,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. grandis
21_01_02_33,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. grandis
21_02_01_01,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_03,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_04,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_05,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_06,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_07,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_08,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. tuahiniensis
21_02_01_11,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. grandis
21_02_01_12,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_13,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_15,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. tuahiniensis
21_02_01_16,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_18,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. grandis
21_02_01_20,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_21,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_23,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_24,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_26,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_27,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. tuahiniensis
21_02_01_28,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. tuahiniensis
21_02_01_29,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_30,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_31,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_32,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_33,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_34,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_35,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. grandis
21_02_01_37,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_39,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_40,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_42,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. tuahiniensis
21_02_01_44,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. grandis
21_02_01_45,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_46,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_47,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_48,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_49,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_50,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_52,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_53,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_54,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. tuahiniensis
21_02_01_55,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_01_56,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. tuahiniensis
21_02_01_57,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. grandis
21_02_01_59,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. verrucosa
21_02_01_60,S. Burgess,17-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_02_01,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_02_02,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_02_03,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. meandrina
21_02_02_04,S. Burgess,19-Dec-2021,French Polynesia,E. Johnston,P. tuahiniensis
